#"Step","Potential Energy (kJ/mole)","Temperature (K)"
36700,-326.30533837380926,299.00600112881534
36800,-293.7458081641353,298.07258904059995
36900,-268.49711664535545,307.5194322031604
37000,-313.50971429704197,299.2688551911505
37100,-305.0854150210847,301.7956926169692
37200,-286.5672445146932,304.7749173219601
37300,-295.36455931492884,310.57468192623577
37400,-308.87503474160513,307.6641569503643
37500,-303.89244820551033,305.3471222757721
37600,-312.200738124302,295.7985852674471
37700,-330.82699254574743,301.8174609986217
37800,-315.706775347877,302.9865775023757
37900,-319.94156543198835,317.4113601163812
38000,-316.2429881676815,311.96688157827634
38100,-317.9921530518118,316.42893705195183
38200,-311.1396568609352,308.28861296055624
38300,-298.06916241942565,305.1176828888528
38400,-314.90601503037163,306.82698089599035
38500,-357.6016450489947,306.73725349254755
38600,-322.13601517302385,302.8666060117995
38700,-326.1411943073694,306.8420933405398
38800,-323.7189156269255,305.49444407638435
38900,-334.2134152536316,300.93968245174085
39000,-324.2682034823957,298.48019355039577
39100,-334.69752970033454,308.55520959360075
39200,-323.22832440139223,304.710661298159
39300,-326.4135405347983,303.956162659091
39400,-302.87413603812064,293.29062658542136
39500,-323.17563081844,291.45213550514836
39600,-320.98040112803227,295.7095739021421
39700,-309.41756287508537,293.7596282761372
39800,-325.66728691098524,295.92435426065657
39900,-312.2208307733035,294.8229315057937
40000,-297.82953380431894,294.5849286169553
40100,-292.8910410797394,290.6094348698622
40200,-326.7553216533369,293.0221545753646
40300,-326.8411367617245,292.75236952162726
40400,-328.6447249831985,295.2443044866739
40500,-319.2544953642242,289.43244691769104
40600,-315.9546321838588,292.9430588743535
40700,-317.05164703925226,298.9085087901028
40800,-310.5408603458248,300.4347985164888
40900,-314.13938242281796,300.119406630264
41000,-300.97257918862357,291.81517389057535
41100,-308.37446156869595,303.43906174901434
41200,-334.63420423606397,304.8011047334137
41300,-328.83067226245925,306.03859026649036
41400,-338.8497326502402,304.06265107108595
41500,-324.20195501792404,296.82570321812887
41600,-330.73032125354376,301.85427254669503
41700,-353.71109336618827,298.5546192598869
41800,-328.0653983196569,301.6536086170517
41900,-331.25586205828705,294.10305814111985
42000,-337.1223217862592,293.68666910093594
42100,-321.77326527148483,295.20886494399326
42200,-331.0172044155277,291.8266055252024
42300,-314.59810179287786,298.7645505143061
42400,-312.79737622322136,307.46998578837577
42500,-310.1404592764288,311.7270896836174
42600,-309.82491557128384,321.2188982198306
42700,-296.08010648467837,312.8055118060242
42800,-327.9423221139472,309.64586453067295
42900,-309.89223116000807,313.2236037560162
43000,-309.03701685838513,307.1143380427286
43100,-294.4300119867349,304.77393083253753
43200,-304.0973290110835,298.9373073788345
43300,-296.98360300330756,296.93859987128025
43400,-318.8227105026821,305.7133718445313
43500,-325.1597532961467,299.7289443263225
43600,-282.25119699459106,299.6414434010445
43700,-322.02602871378855,305.1447378602405
43800,-330.2732868406163,304.5290910229058
43900,-312.44756932555293,303.3291001317245
44000,-308.35482357796656,300.8271245350171
44100,-305.04674245143207,302.0658170098834
44200,-309.2802378433778,309.39938259953055
44300,-313.98988625330753,306.8429679572335
44400,-318.5773840791787,311.2911104029485
44500,-312.04814894894815,313.88891424158106
44600,-303.6838325064325,305.8559896201753
44700,-331.3576196086361,302.57497315487876
44800,-322.49590594679756,303.5270628291718
44900,-315.8809416551015,301.27767248878246
45000,-301.5272850501144,304.9181521040345
45100,-296.3943826482603,300.40181724373167
45200,-309.31435090038764,304.2574777405662
45300,-318.7228235559811,295.776390541049
45400,-316.58402882754586,303.4663410825757
45500,-326.59678664800947,295.5513807911487
45600,-350.5643646204755,290.74994528544744
45700,-314.17707204659115,295.7522239731291
45800,-341.784884933916,287.79011420257837
45900,-346.7491755075285,279.0372364062065
46000,-349.03316385945453,286.3722859058784
46100,-294.0622852929906,288.73291422088687
46200,-328.22681399229003,297.8795294954625
46300,-327.34460464696764,290.8958342586981
46400,-317.4254716781301,298.9894101676078
46500,-323.62882972047504,299.5038951984914
46600,-322.5330670236928,300.4689844181229
46700,-300.601075646792,300.0192087280044
46800,-325.3427112057027,304.3604971958714
46900,-323.3097559011867,307.229911983927
47000,-319.8338567078191,303.8691736386988
47100,-310.3122427641999,308.18782986629543
47200,-312.85578958195305,309.50838999318256
47300,-330.17662100765637,318.41882597337445
47400,-333.9700717381982,302.6089408595936
